element	sp_num	obs_wl_vac	unc_obs_wl	ritz_wl_vac	unc_ritz_wl	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Mg	10	"9.2300"	"0.0010"	"9.231"	"0.010"	"10bl*"	""		"214.224"	"[1557.4]"	"1s2.3p"	"2P*"	"3/2"	"1s.2p.(3P*).3p"	"2D"	"5/2"	4	6		""	"L7418c8,L2560c7"	
Mg	11	"9.2310"	"0.0010"	"9.2312"	"0.0010"	"50g"	""		"0.0000"	"[1343.0983]"	"1s2"	"1S"	"0"	"1s.2p"	"3P*"	"1"	1	3		""	"L7418c8"	
Fe	22	"9.241"	"0.010"	"9.241"	"0.003"	""	"5.1e+12"	D	"91.291"	"1433.0"	"2s.2p2"	"2D"	"3/2"	"2s.2p.(3P*).4d"	"2F*"	"5/2"	4	6		"T3348"	"L4776"	
Mg	10	"9.266"	"0.010"	"9.267"	"0.010"	"2*"	""		"214.061"	"1552.0"	"1s2.3p"	"2P*"	"1/2"	"1s.2p.(3P*).3p"	"2P"	"1/2"	2	2		""	"L2670"	
Mg	10	"9.266"	"0.010"	"9.268"	"0.010"	"2*"	""		"214.224"	"1552.0"	"1s2.3p"	"2P*"	"3/2"	"1s.2p.(3P*).3p"	"2P"	"3/2"	4	4		""	"L2670"	
Mg	10	"9.2957"	"0.0010"	"9.294"	"0.010"	"15bl*"	""		"19.8393"	"1353.9"	"1s2.2p"	"2P*"	"1/2"	"1s.(2S).2p2.(3P)"	"2P"	"1/2"	2	2		""	"L7418c8,L2560c7"	
Mg	10	"9.2957"	"0.0010"	"9.297"	"0.010"	"15bl*"	""		"20.332"	"1353.9"	"1s2.2p"	"2P*"	"3/2"	"1s.(2S).2p2.(3P)"	"2P"	"3/2"	4	4		""	"L7418c8,L2560c7"	
Mg	11	"9.316"	"0.010"	"9.3143"	"0.0010"	"g"	""		"0.0000"	"[1331.1112]"	"1s2"	"1S"	"0"	"1s.2s"	"3S"	"1"	1	3	M1	""	"L2670"	
Mg	10	"9.3167"	"0.0010"	"9.316"	"0.010"	"30"	""		"19.8393"	"1350.7"	"1s2.2p"	"2P*"	"1/2"	"1s.(2S).2p2.(1D)"	"2D"	"3/2"	2	4		""	"L2560c7"	
Mg	10	"9.3200"	"0.0010"	"9.320"	"0.010"	"50"	""		"20.332"	"1350.7"	"1s2.2p"	"2P*"	"3/2"	"1s.(2S).2p2.(1D)"	"2D"	"5/2"	4	6		""	"L2560c7"	
Fe	19	"9.34"	"0.10"	"9.34"	"0.03"	""	""		"0.0000"	"1328"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(4S*).6d"	"3D*"	"3"	5	7		""	"L4409"	
Fe	19	"9.36"	"0.10"	"9.36"	"0.03"	""	""		"9.330"	"1334"	"2s2.2p4"	"3P"	"0"	"2s2.2p3.(2P*).6d"	"3D*"	"1"	1	3		""	"L4409"	
Mg	9	""	""	"9.367"	"0.010"	"14"	""		"50.23"	"1373.86"	"1s2.2p2"	"1D"	"2"	"1s.2p3"	"1P*"	"1"	5	3		""	"L4330"	
Mg	9	"9.384"	"0.010"	"9.3830"	"0.0010"	"43bl*"	""		"0.0000"	"[1321.37]"	"1s2.2s2"	"1S"	"0"	"1s.2s2.2p"	"1P*"	"1"	1	3		""	"L4330"	
Mg	9	"9.384"	"0.010"	"9.3885"	"0.0010"	"43bl*"	""		"45.791"	"[1366.39]"	"1s2.2p2"	"3P"	"2"	"1s.2p3"	"3P*"	"2"	5	5		""	"L4330"	
Mg	10	"9.3845"	"0.0010"	"9.3822"	"0.0010"	"*"	""		"19.8393"	"1341.327"	"1s2.2p"	"2P*"	"1/2"	"1s.(2S).2p2.(3P)"	"4P"	"3/2"	2	4		""	"L7418c8"	
Mg	10	"9.3845"	"0.0010"	"9.3838"	"0.0010"	"*"	""		"19.8393"	"1341.10"	"1s2.2p"	"2P*"	"1/2"	"1s.(2S).2p2.(3P)"	"4P"	"1/2"	2	2		""	"L7418c8"	
Mg	10	"9.3845"	"0.0010"	"9.3839"	"0.0010"	"*"	""		"20.332"	"1341.57"	"1s2.2p"	"2P*"	"3/2"	"1s.(2S).2p2.(3P)"	"4P"	"5/2"	4	6		""	"L7418c8"	
Mg	10	"9.3845"	"0.0010"	"9.3857"	"0.0010"	"*"	""		"20.332"	"1341.327"	"1s2.2p"	"2P*"	"3/2"	"1s.(2S).2p2.(3P)"	"4P"	"3/2"	4	4		""	"L7418c8"	
Mg	10	"9.3923"	"0.0010"	"9.3920"	"0.0010"	"g*"	""		"0.0000"	"1320.11"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(3P*)"	"4P*"	"3/2"	2	4		""	"L7418c8"	
Mg	10	"9.3923"	"0.0010"	"9.3929"	"0.0010"	"g*"	""		"0.0000"	"1319.983"	"1s2.2s"	"2S"	"1/2"	"1s.(2S).2s.2p.(3P*)"	"4P*"	"1/2"	2	2		""	"L7418c8"	
Mg	9	"9.393"	"0.010"	"9.393"	"0.010"	"49"	""		"33.6849"	"1353.65"	"1s2.2s.2p"	"1P*"	"1"	"1s.(2S).2s.2p2.(2P)"	"1P"	"1"	3	3		""	"L4330"	
Mg	9	"9.411"	"0.010"	"9.4116"	"0.0010"	"86bl*"	""		"17.8650"	"[1335.22]"	"1s2.2s.2p"	"3P*"	"2"	"1s.(2S).2s.2p2.(4P)"	"3P"	"2"	5	5		""	"L4330"	
Mg	9	"9.411"	"0.010"	"9.4126"	"0.0010"	"*"	""		"17.4203"	"[1334.64]"	"1s2.2s.2p"	"3P*"	"0"	"1s.(2S).2s.2p2.(2D)"	"3D"	"1"	1	3		""	"L4330"	
Mg	9	"9.411"	"0.010"	"9.4127"	"0.0010"	"*"	""		"17.5600"	"[1334.76]"	"1s2.2s.2p"	"3P*"	"1"	"1s.(2S).2s.2p2.(4P)"	"3P"	"0"	3	1		""	"L4330"	
Mg	9	"9.411"	"0.010"	"9.4141"	"0.0010"	"*"	""		"17.5600"	"[1334.57]"	"1s2.2s.2p"	"3P*"	"1"	"1s.(2S).2s.2p2.(2D)"	"3D"	"2"	3	5		""	"L4330"	
Fe	21	"9.421"	"0.010"	"9.421"	"0.005"	""	"3.3e+12"	D	"9.1564"	"1325.1"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4d"	"3P*"	"1"	3	3		"T3664"	"L4776"	
Mg	9	"9.430"	"0.010"	"9.4168"	"0.0010"	"32bl*"	""		"17.8650"	"[1334.49]"	"1s2.2s.2p"	"3P*"	"2"	"1s.(2S).2s.2p2.(2D)"	"3D"	"3"	5	7		""	"L4330"	
Mg	9	"9.430"	"0.010"	"9.4303"	"0.0010"	"32bl*"	""		"50.23"	"[1364.97]"	"1s2.2p2"	"1D"	"2"	"1s.2p3"	"1D*"	"2"	5	5		""	"L4330"	
Mg	9	"9.430"	"0.010"	"9.4475"	"0.0010"	"32bl*"	""		"45.3604"	"[1357.71]"	"1s2.2p2"	"3P"	"0"	"1s.2p3"	"3D*"	"1"	1	3		""	"L4330"	
Mg	9	"9.430"	"0.010"	"9.4477"	"0.0010"	"32bl*"	""		"33.6849"	"[1346.01]"	"1s2.2s.2p"	"1P*"	"1"	"1s.(2S).2s.2p2.(2D)"	"1D"	"2"	3	5		""	"L4330"	
Mg	9	"9.430"	"0.010"	"9.4487"	"0.0010"	"32bl*"	""		"45.5219"	"[1357.70]"	"1s2.2p2"	"3P"	"1"	"1s.2p3"	"3D*"	"2"	3	5		""	"L4330"	
Fe	21	"9.433"	"0.010"	"9.433"	"0.005"	""	"1.7e+12"	E	"9.1564"	"1323.5"	"2s2.2p2"	"3P"	"1"	"2s2.2p.4d"	"1D*"	"2"	3	5		"T3664"	"L4776"	
Fe	19	"9.44"	"0.10"	"9.44"	"0.03"	""	""		"11.089"	"1324"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(4S*).6d"	"5D*"	"2"	3	5		""	"L4409"	
Mg	9	"9.454"	"0.010"	"9.451"	"0.010"	"25bl*"	""		"61.9466"	"1373.86"	"1s2.2p2"	"1S"	"0"	"1s.2p3"	"1P*"	"1"	1	3		""	"L4330"	
Mg	9	"9.454"	"0.010"	"9.4516"	"0.0010"	"25bl*"	""		"45.791"	"[1357.56]"	"1s2.2p2"	"3P"	"2"	"1s.2p3"	"3D*"	"3"	5	7		""	"L4330"	
Fe	21	""	""	"9.4602"	"0.0010"	""	"1.5e+12"	D	"14.5500"	"1325.1"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4d"	"3P*"	"1"	5	3		"T3664"	""	
Fe	21	""	""	"9.4718"	"0.0010"	""	"6.1e+11"	E	"14.5500"	"1323.5"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4d"	"1D*"	"2"	5	5		"T3664"	""	
Fe	21	"9.476"	"0.010"	"9.476"	"0.005"	""	"5.2e+12"	D	"0.0000"	"1308.4"	"2s2.2p2"	"3P"	"0"	"2s2.2p.4d"	"3D*"	"1"	1	3		"T3664"	"L6738"	
Fe	21	"9.482"	"0.010"	"9.482"	"0.005"	""	"4.9e+12"	D	"14.5500"	"1322.2"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4d"	"3D*"	"3"	5	7		"T3664"	"L6738"	
