element	sp_num	obs_wl_vac	unc_obs_wl	ritz_wl_vac	unc_ritz_wl	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Fe	18	"10.33"	"0.10"	"10.331"	"0.005"	""	""		"0.0000"	"1200.2"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D).5d"	"2P"	"3/2"	4	4		""	"L4409"	
Fe	25	""	""	"10.333"	"0.010"	""	""		"[6682.33]"	"[7882.20]"	"1s.2p"	"3P*"	"2"	"1s.3d"	"3D"	"3"	5	7		""	"L11926"	
Fe	25	""	""	"10.348"	"0.010"	""	""		"[6682.33]"	"[7880.52]"	"1s.2p"	"3P*"	"2"	"1s.3d"	"3D"	"2"	5	5		""	"L11926"	
Fe	25	""	""	"10.369"	"0.010"	""	"8.7e+11"	B	"[6667.569]"	"[7863.29]"	"1s.2p"	"3P*"	"1"	"1s.3s"	"3S"	"1"	3	3		"T3221"	""	
Fe	17	"10.386"	"0.003"	"10.386"	"0.005"	"1"	""		"0.000"	"1193.7"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).7d"	"2[3/2]*"	"1"	1	3		""	"L4008"	
Fe	18	"10.41"	"0.10"	"10.406"	"0.005"	""	""		"0.0000"	"1191.5"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P).5d"	"2F"	"5/2"	4	6		""	"L4409"	
Fe	18	"10.44"	"0.10"	"10.441"	"0.005"	""	""		"12.718"	"1200.2"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D).5d"	"2D"	"3/2"	2	4		""	"L4409"	
Fe	18	"10.44"	"0.10"	"10.441"	"0.005"	""	""		"12.718"	"1200.2"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D).5d"	"2P"	"1/2"	2	2		""	"L4409"	
Fe	18	"10.48"	"0.10"	"10.485"	"0.005"	""	""		"12.718"	"1195.2"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(3P).5d"	"2P"	"3/2"	2	4		""	"L4409"	
Fe	25	""	""	"10.489"	"0.010"	""	"2.5e+13"	C+	"[6700.415]"	"[7882.48]"	"1s.2p"	"1P*"	"1"	"1s.3d"	"1D"	"2"	3	5		"T5298"	"L11926"	
Fe	25	""	""	"10.499"	"0.010"	""	""		"[6682.33]"	"[7863.29]"	"1s.2p"	"3P*"	"2"	"1s.3s"	"3S"	"1"	5	3		""	"L11926"	
Fe	17	"10.500"	"0.003"	"10.500"	"0.005"	"3"	""		"0.000"	"1180.8"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).7d"	"2[3/2]*"	"1"	1	3		""	"L4008"	
Fe	18	"10.51"	"0.10"	"10.515"	"0.006"	""	""		"0.0000"	"1179.1"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P).5d"	"2D"	"5/2"	4	6		""	"L4409"	
Fe	17	"10.550"	"0.003"	"10.550"	"0.005"	"2"	""		"0.000"	"1175.2"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).7s"	"(3/2,1/2)*"	"1"	1	3		""	"L4008"	
Fe	19	"10.564"	"0.010"	"10.564"	"0.003"	"35"	""		"11.089"	"1184.8"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2P*<3/2>).4d"	"(3/2,3/2)*"	"1"	3	3		""	"L5090"	
Fe	25	""	""	"10.586"	"0.010"	""	"2.5e+12"	B	"[6700.415]"	"[7871.63]"	"1s.2p"	"1P*"	"1"	"1s.3s"	"1S"	"0"	3	1		"T3221"	""	
Fe	19	"10.617"	"0.010"	"10.617"	"0.003"	"25"	""		"9.330"	"1177.1"	"2s2.2p4"	"3P"	"0"	"2s2.2p3.(2P*<1/2>).4d"	"(1/2,3/2)*"	"1"	1	3		""	"L5090"	
Fe	24	"10.619"	"0.010"	"10.619"	"0.003"	""	"7.28e+12"	B+	"0.0000"	"1167.6"	"1s2.2s"	"2S"	"1/2"	"1s2.3p"	"2P*"	"3/2"	2	4		"T2866,T2983u9"	"L11369"	
Fe	19	"10.635"	"0.010"	"10.635"	"0.003"	"40"	""		"11.089"	"1176.9"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2P*<1/2>).4d"	"(1/2,5/2)*"	"2"	3	5		""	"L5090"	
Fe	19	"10.635"	"0.010"	"10.635"	"0.003"	"40"	""		"0.0000"	"1165.8"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*<5/2>).4d"	"(5/2,3/2)*"	"1"	5	3		""	"L5090"	
Ne	9	""	""	"10.643"	"0.010"	""	"3.01e+11"	AA	"0.0000"	"1164.9803"	"1s2"	"1S"	"0"	"1s.6p"	"1P*"	"1"	1	3		"T7543"	""	
Fe	19	"10.644"	"0.010"	"10.644"	"0.003"	"35"	""		"0.0000"	"1164.8"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*<5/2>).4d"	"(5/2,3/2)*"	"2"	5	5		""	"L5090"	
Ne	9	""	""	"10.644"	"0.010"	""	"2.067e+08"	AA	"0.0000"	"1164.8315"	"1s2"	"1S"	"0"	"1s.6p"	"3P*"	"1"	1	3		"T7543"	""	
Fe	19	"10.658"	"0.010"	"10.658"	"0.003"	"35"	""		"0.0000"	"1163.3"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*<5/2>).4d"	"(5/2,3/2)*"	"3"	5	7		""	"L5090"	
Fe	17	"10.658"	"0.005"	"10.658"	"0.005"	"3"	""		"0.000"	"1163.3"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).6d"	"2[3/2]*"	"1"	1	3		""	"L5090"	
Fe	19	"10.658"	"0.010"	"10.657"	"0.003"	"35"	""		"20.93498"	"1184.3"	"2s2.2p4"	"1D"	"2"	"2s2.2p3.(2P*<3/2>).4d"	"(3/2,3/2)*"	"3"	5	7		""	"L5090"	
Fe	24	"10.663"	"0.010"	"10.663"	"0.003"	""	"7.51e+12"	B+	"0.0000"	"1162.7"	"1s2.2s"	"2S"	"1/2"	"1s2.3p"	"2P*"	"1/2"	2	2		"T2866,T2983u9"	"L11369"	
Fe	19	"10.685"	"0.010"	"10.685"	"0.003"	"25"	""		"0.0000"	"1160.4"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*<3/2>).4d"	"(3/2,3/2)*"	"3"	5	7		""	"L5090"	
Fe	19	"10.736"	"0.010"	"10.736"	"0.003"	"20"	""		"20.93498"	"1175.7"	"2s2.2p4"	"1D"	"2"	"2s2.2p3.(2P*<1/2>).4d"	"(1/2,5/2)*"	"3"	5	7		""	"L5090"	
Ne	9	""	""	"10.764"	"0.010"	""	"5.20e+11"	AA	"0.0000"	"1151.8132"	"1s2"	"1S"	"0"	"1s.5p"	"1P*"	"1"	1	3		"T7543"	""	
Ne	9	""	""	"10.768"	"0.010"	""	"3.52e+08"	AA	"0.0000"	"1151.3991"	"1s2"	"1S"	"0"	"1s.5p"	"3P*"	"1"	1	3		"T7543"	""	
Fe	19	"10.770"	"0.010"	"10.771"	"0.003"	"35"	""		"11.089"	"1162.2"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2D*<3/2>).4d"	"(3/2,5/2)*"	"2"	3	5		""	"L5090"	
Fe	17	"10.770"	"0.005"	"10.770"	"0.005"	"6"	""		"0.000"	"1151.2"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).6d"	"2[3/2]*"	"1"	1	3		""	"L5090"	
Fe	23	""	""	"10.793"	"0.010"	""	"2.2e+11"	D	"47.006"	"1195.7"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2p.3p"	"3P"	"2"	3	5		"T4591"	""	
Fe	19	"10.813"	"0.010"	"10.813"	"0.004"	"55"	""		"20.93498"	"1167.6"	"2s2.2p4"	"1D"	"2"	"2s2.2p3.(2D*<5/2>).4d"	"(5/2,5/2)*"	"3"	5	7		""	"L5090"	
Fe	19	"10.813"	"0.010"	"10.820"	"0.004"	"55"	""		"0.0000"	"1145.9"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(4S*<3/2>).4d"	"(3/2,5/2)*"	"2"	5	5		""	"L5090"	
Fe	19	"10.813"	"0.010"	"10.813"	"0.004"	"55"	""		"20.93498"	"1167.6"	"2s2.2p4"	"1D"	"2"	"2s2.2p3.(2D*<5/2>).4d"	"(5/2,5/2)*"	"2"	5	5		""	"L5090"	
Fe	19	"10.813"	"0.010"	"10.813"	"0.004"	"55"	""		"40.312"	"1186.9"	"2s2.2p4"	"1S"	"0"	"2s2.2p3.(2P*<3/2>).4d"	"(3/2,5/2)*"	"1"	1	3		""	"L5090"	
Fe	19	"10.813"	"0.010"	"10.813"	"0.004"	"55"	""		"0.0000"	"1146.6"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(4S*<3/2>).4d"	"(3/2,5/2)*"	"3"	5	7		""	"L5090"	
Fe	17	"10.851"	"0.003"	"10.851"	"0.005"	"1"	""		"0.000"	"1142.6"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).6s"	"(3/2,1/2)*"	"1"	1	3		""	"L4008"	
Fe	23	"10.903"	"0.010"	"10.902"	"0.006"	""	"5.3e+12"	C	"58.493"	"1195.7"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2p.3p"	"3P"	"2"	5	5		"T4591"	"L4776"	
Fe	19	"10.907"	"0.010"	"10.907"	"0.004"	""	""		"9.330"	"1146.1"	"2s2.2p4"	"3P"	"0"	"2s2.2p3.(4S*<3/2>).4d"	"(3/2,5/2)*"	"1"	1	3		""	"L5090"	
Fe	23	"10.927"	"0.010"	"10.926"	"0.006"	""	"6.0e+12"	C	"58.493"	"1193.2"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2p.3p"	"3D"	"3"	5	7		"T4591"	"L4776"	
Fe	19	"10.933"	"0.010"	"10.926"	"0.004"	"25"	""		"11.089"	"1145.9"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(4S*<3/2>).4d"	"(3/2,5/2)*"	"2"	3	5		""	"L5090"	
Fe	23	"10.935"	"0.010"	"10.935"	"0.006"	""	"5.4e+12"	C	"47.006"	"1180.8"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2p.3p"	"3D"	"2"	3	5		"T4591"	"L4776"	
Fe	23	"10.980"	"0.010"	"10.981"	"0.006"	""	"7.9e+12"	C	"0.0000"	"1129.1"	"1s2.2s2"	"1S"	"0"	"1s2.2s.3p"	"1P*"	"1"	1	3		"T4591"	"L4776"	
Fe	23	""	""	"10.981"	"0.010"	""	"1.5e+12"	D	"43.17"	"1172.3"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2p.3p"	"3D"	"1"	1	3		"T4591"	""	
Ne	9	""	""	"11.000"	"0.010"	""	"1.024e+12"	AA	"0.0000"	"1127.0945"	"1s2"	"1S"	"0"	"1s.4p"	"1P*"	"1"	1	3		"T7543"	""	
Ne	9	""	""	"11.008"	"0.010"	""	"6.84e+08"	AA	"0.0000"	"1126.2774"	"1s2"	"1S"	"0"	"1s.4p"	"3P*"	"1"	1	3		"T7543"	""	
Fe	23	"11.018"	"0.010"	"11.018"	"0.006"	""	"4.9e+12"	C	"0.0000"	"1125.3"	"1s2.2s2"	"1S"	"0"	"1s2.2s.3p"	"3P*"	"1"	1	3		"T4591"	"L4776"	
Fe	23	""	""	"11.018"	"0.010"	""	"2.7e+12"	D	"47.006"	"1172.3"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2p.3p"	"3D"	"1"	3	3		"T4591"	""	
Fe	17	"11.023"	"0.005"	"11.023"	"0.005"	""	"2.1e+12"	D	"0.000"	"1124.8"	"2s2.2p6"	"1S"	"0"	"2s.2p6.4p"	"1P*"	"1"	1	3		"T2774"	"L5090"	
Fe	24	"11.030"	"0.010"	"11.0290"	"0.0021"	""	"1.84e+13"	B	"48.5997"	"1172.77"	"1s2.2p"	"2P*"	"1/2"	"1s2.3d"	"2D"	"3/2"	2	4		"T2866"	"L11369"	
Fe	17	"11.043"	"0.005"	"11.042"	"0.005"	""	"2.9e+11"	E	"0.000"	"1122.8"	"2s2.2p6"	"1S"	"0"	"2s.2p6.4p"	"3P*"	"1"	1	3		"T2774"	"L5090"	
Fe	23	""	""	"11.047"	"0.010"	""	"1.9e+11"	D	"58.493"	"1180.8"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2p.3p"	"3D"	"2"	5	5		"T4591"	""	
Fe	17	"11.133"	"0.005"	"11.133"	"0.005"	"8"	""		"0.000"	"1113.6"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.5d"	"1P*"	"1"	1	3		""	"L5090"	
Fe	23	"11.166"	"0.010"	"11.165"	"0.006"	""	"6.7e+12"	C	"93.287"	"1203.8"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2p.3p"	"1D"	"2"	3	5		"T4591"	"L4776"	
Fe	24	"11.171"	"0.010"	"11.171"	"0.003"	""	"2.18e+13"	B	"64.5656"	"1174.5"	"1s2.2p"	"2P*"	"3/2"	"1s2.3d"	"2D"	"5/2"	4	6		"T2866"	"L11369"	
Fe	24	"11.187"	"0.010"	"11.1879"	"0.0021"	""	"3.6e+12"	B	"64.5656"	"1172.77"	"1s2.2p"	"2P*"	"3/2"	"1s2.3d"	"2D"	"3/2"	4	4		"T2866"	"L11369"	
Fe	23	""	""	"11.247"	"0.010"	""	"2.1e+12"	D	"93.287"	"1195.7"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2p.3p"	"3P"	"2"	3	5		"T4591"	""	
Fe	18	"11.253"	"0.010"	"11.253"	"0.004"	"45"	""		"12.718"	"1114.5"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1S<0>).4d"	"(0,3/2)"	"3/2"	2	4		""	"L5090"	
Fe	17	"11.253"	"0.005"	"11.252"	"0.005"	"7"	""		"0.000"	"1101.8"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.5d"	"3D*"	"1"	1	3		""	"L5090"	
Fe	24	"11.261"	"0.010"	"11.2606"	"0.0022"	""	"7.9e+11"	D	"48.5997"	"1149.64"	"1s2.2p"	"2P*"	"1/2"	"1s2.3s"	"2S"	"1/2"	2	2		"T3629"	"L11369"	
Fe	17	"11.287"	"0.005"	"11.287"	"0.005"	"2"	""		"0.000"	"1098.5"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).5s"	"(1/2,1/2)*"	"1"	1	3		""	"L5090"	
Fe	23	"11.298"	"0.010"	"11.298"	"0.006"	""	"1.3e+13"	C	"43.17"	"1140.5"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.3d"	"3D"	"1"	1	3		"T4591"	"L4776"	
Fe	23	"11.325"	"0.010"	"11.325"	"0.006"	""	"1.7e+13"	C	"47.006"	"1141.8"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.3d"	"3D"	"2"	3	5		"T4591"	"L4776"	
Fe	18	"11.326"	"0.010"	"11.326"	"0.004"	"55"	""		"0.0000"	"1094.7"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D<2>).4d"	"(2,3/2)"	"5/2"	4	6		""	"L5090"	
Fe	18	"11.326"	"0.010"	"11.326"	"0.004"	"55"	""		"0.0000"	"1094.7"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D<2>).4d"	"(2,5/2)"	"3/2"	4	4		""	"L5090"	
Fe	18	"11.326"	"0.010"	"11.326"	"0.004"	"55"	""		"0.0000"	"1094.7"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D<2>).4d"	"(2,5/2)"	"5/2"	4	6		""	"L5090"	
Fe	18	"11.326"	"0.010"	"11.326"	"0.004"	"55"	""		"0.0000"	"1094.7"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D<2>).4d"	"(2,3/2)"	"1/2"	4	2		""	"L5090"	
Fe	23	""	""	"11.338"	"0.010"	""	"9.3e+12"	C	"47.006"	"1140.5"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.3d"	"3D"	"1"	3	3		"T4591"	""	
Fe	23	""	""	"11.398"	"0.010"	""	"1.7e+12"	D	"93.287"	"1181.1"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2p.3p"	"1P"	"1"	3	3		"T5298"	"L11926"	
Fe	18	"11.420"	"0.010"	"11.420"	"0.004"	""	""		"0.0000"	"1085.7"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<1>).4d"	"(1,5/2)"	"5/2"	4	6		""	"L5090"	
Fe	17	"11.420"	"0.003"	"11.419"	"0.006"	"3"	""		"0.000"	"1085.7"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).5s"	"(3/2,1/2)*"	"1"	1	3		""	"L4008"	
Fe	24	"11.426"	"0.010"	"11.4263"	"0.0022"	""	"1.80e+12"	C	"64.5656"	"1149.64"	"1s2.2p"	"2P*"	"3/2"	"1s2.3s"	"2S"	"1/2"	4	2		"T3629"	"L11369"	
Fe	18	"11.440"	"0.010"	"11.440"	"0.004"	"50"	""		"12.718"	"1096.5"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D<2>).4d"	"(2,3/2)"	"3/2"	2	4		""	"L5090"	
Fe	18	"11.440"	"0.010"	"11.440"	"0.004"	"50"	""		"12.718"	"1096.5"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D<2>).4d"	"(2,5/2)"	"1/2"	2	2		""	"L5090"	
Fe	23	"11.442"	"0.010"	"11.441"	"0.007"	""	"2.2e+13"	C	"58.493"	"1142.1"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.3d"	"3D"	"3"	5	7		"T4591"	"L4776"	
Fe	18	"11.442"	"0.010"	"11.416"	"0.004"	""	""		"0.0000"	"1086.1"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<1>).4d"	"(1,5/2)"	"3/2"	4	4		""	"L4776"	
Fe	22	"11.442"	"0.010"	"11.442"	"0.005"	""	""		"0.0000"	"1083.6"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2D"	"3/2"	2	4		""	"L4776"	
Fe	23	""	""	"11.445"	"0.010"	""	"5.6e+12"	C	"58.493"	"1141.8"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.3d"	"3D"	"2"	5	5		"T4591"	""	
Fe	18	"11.458"	"0.010"	"11.458"	"0.004"	"30"	""		"0.0000"	"1082.1"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<0>).4d"	"(0,5/2)"	"5/2"	4	6		""	"L5090"	
Fe	18	"11.458"	"0.010"	"11.458"	"0.004"	"30"	""		"0.0000"	"1082.1"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<0>).4d"	"(0,3/2)"	"3/2"	4	4		""	"L5090"	
Fe	23	""	""	"11.458"	"0.010"	""	"6.1e+11"	D	"58.493"	"1140.5"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.3d"	"3D"	"1"	5	3		"T4591"	""	
Fe	22	"11.459"	"0.010"	"11.459"	"0.005"	""	""		"14.6631"	"1096.6"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2D"	"5/2"	4	6		""	"L4776"	
Fe	23	"11.459"	"0.010"	"11.460"	"0.007"	""	"1.9e+12"	D	"127.36"	"1209.2"	"1s2.2p2"	"3P"	"1"	"1s2.2p.3d"	"3P*"	"2"	3	5		"T4591"	"L4776"	
Fe	23	""	""	"11.491"	"0.010"	""	"1.5e+12"	D	"93.287"	"1172.3"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2p.3p"	"3D"	"1"	3	3		"T4591"	""	
Fe	23	"11.493"	"0.010"	"11.493"	"0.007"	""	""		"127.36"	"1206.1"	"1s2.2p2"	"3P"	"1"	"1s2.2p.3d"	"3D*"	"2"	3	5		""	"L4776"	
Fe	23	"11.519"	"0.010"	"11.519"	"0.007"	""	"1.16e+13"	C	"132.87"	"1209.2"	"1s2.2p2"	"3P"	"2"	"1s2.2p.3d"	"3P*"	"2"	5	5		"T4591"	"L4776"	
Fe	23	"11.519"	"0.010"	"11.520"	"0.007"	""	"2.16e+13"	C	"118.54"	"1194.8"	"1s2.2p2"	"3P"	"0"	"1s2.2p.3d"	"3D*"	"1"	1	3		"T4591"	"L4776"	
Fe	23	"11.525"	"0.010"	"11.524"	"0.007"	""	"2.3e+13"	C	"132.87"	"1208.7"	"1s2.2p2"	"3P"	"2"	"1s2.2p.3d"	"3D*"	"3"	5	7		"T4591"	"L4776"	
Fe	18	"11.526"	"0.010"	"11.526"	"0.004"	"50"	""		"0.0000"	"1075.7"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<2>).4d"	"(2,5/2)"	"3/2"	4	4		""	"L5090"	
Fe	18	"11.526"	"0.010"	"11.526"	"0.004"	"50"	""		"0.0000"	"1075.7"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<2>).4d"	"(2,5/2)"	"5/2"	4	6		""	"L5090"	
Ne	9	""	""	"11.547"	"0.010"	""	"2.478e+12"	AA	"0.0000"	"1073.7689"	"1s2"	"1S"	"0"	"1s.3p"	"1P*"	"1"	1	3		"T7543"	""	
Fe	18	"11.551"	"0.010"	"11.551"	"0.004"	"50"	""		"12.718"	"1086.1"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(3P<1>).4d"	"(1,5/2)"	"3/2"	2	4		""	"L5090"	
Ne	9	""	""	"11.568"	"0.010"	""	"1.604e+09"	AA	"0.0000"	"1071.7814"	"1s2"	"1S"	"0"	"1s.3p"	"3P*"	"1"	1	3		"T7543"	""	
Fe	23	"11.594"	"0.010"	"11.593"	"0.007"	""	"3.58e+13"	C	"149.30"	"1218.8"	"1s2.2p2"	"1D"	"2"	"1s2.2p.3d"	"1F*"	"3"	5	7		"T4591"	"L4776"	
Fe	23	"11.594"	"0.010"	"11.596"	"0.007"	""	"1.2e+12"	D	"149.30"	"1218.5"	"1s2.2p2"	"1D"	"2"	"1s2.2p.3d"	"1P*"	"1"	5	3		"T4591"	"L4776"	
Ne	8	"11.60"	"0.08"	"11.59"	"0.08"	""	""		"[140.7627]"	"1210?"	"1s2.3p"	"2P*"	"3/2"	"1s.3p2"	"2P"	"3/2"	4	4		""	"L9090"	
Fe	23	"11.614"	"0.010"	"11.615"	"0.007"	""	"4.4e+12"	C	"127.36"	"1194.8"	"1s2.2p2"	"3P"	"1"	"1s2.2p.3d"	"3D*"	"1"	3	3		"T4591"	"L4776"	
Fe	23	"11.614"	"0.010"	"11.613"	"0.007"	""	"1.0e+13"	D	"127.36"	"1195.0"	"1s2.2p2"	"3P"	"1"	"1s2.2p.3d"	"1D*"	"2"	3	5		"T4591"	"L4776"	
Fe	18	"11.640"	"0.010"	"11.640"	"0.004"	"15"	""		"0.0000"	"1065.2"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D<2>).4s"	"(2,1/2)"	"5/2"	4	6		""	"L5090"	
Fe	22	"11.650"	"0.010"	"11.650"	"0.005"	""	""		"0.0000"	"1064.3"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"	2	2		""	"L4776"	
Fe	22	"11.669"	"0.010"	"11.669"	"0.005"	""	""		"14.6631"	"1077.2"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"	4	4		""	"L4776"	
Fe	23	""	""	"11.674"	"0.010"	""	"2.3e+12"	D	"132.87"	"1195.0"	"1s2.2p2"	"3P"	"2"	"1s2.2p.3d"	"1D*"	"2"	5	5		"T4591"	""	
Fe	23	""	""	"11.675"	"0.010"	""	"2.1e+11"	D	"132.87"	"1194.8"	"1s2.2p2"	"3P"	"2"	"1s2.2p.3d"	"3D*"	"1"	5	3		"T4591"	""	
Fe	23	"11.692"	"0.010"	"11.691"	"0.007"	""	"7.7e+12"	C	"132.87"	"1193.3"	"1s2.2p2"	"3P"	"2"	"1s2.2p.3d"	"3F*"	"3"	5	7		"T4591"	"L4776"	
Fe	23	""	""	"11.698"	"0.010"	""	"7.3e+12"	D	"149.30"	"1209.2"	"1s2.2p2"	"1D"	"2"	"1s2.2p.3d"	"3P*"	"2"	5	5		"T4591"	""	
Fe	23	""	""	"11.702"	"0.010"	""	"4.4e+11"	D	"43.17"	"1102.72"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.3s"	"3S"	"1"	1	3		"T4591"	""	
Fe	23	"11.737"	"0.010"	"11.736"	"0.007"	""	"1.8e+13"	C	"93.287"	"1149.7"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2s.3d"	"1D"	"2"	3	5		"T4591"	"L4776"	
Fe	18	"11.741"	"0.010"	"11.741"	"0.004"	"10"	""		"0.0000"	"1056.0"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<1>).4s"	"(1,1/2)"	"3/2"	4	4		""	"L5090"	
Fe	22	"11.748"	"0.010"	"11.747"	"0.006"	""	"1.8e+13"	D	"57.056"	"1112.5"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).3d"	"4P*"	"1/2"	4	2		"T3348"	"L4776"	
Fe	22	"11.748"	"0.010"	"11.747"	"0.006"	""	"4.8e+12"	D	"57.056"	"1112.5"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).3d"	"4D*"	"5/2"	4	6		"T3348"	"L4776"	
Fe	22	"11.748"	"0.010"	"11.748"	"0.006"	""	"1.2e+13"	D	"57.056"	"1112.4"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).3d"	"4P*"	"3/2"	4	4		"T3348"	"L4776"	
Fe	23	"11.748"	"0.010"	"11.744"	"0.003"	""	"1.3e+12"	D	"47.006"	"1102.72"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.3s"	"3S"	"1"	3	3		"T4591"	"L4776"	
Fe	22	"11.748"	"0.010"	"11.747"	"0.006"	""	"1.6e+13"	D	"91.291"	"1146.7"	"2s.2p2"	"2D"	"3/2"	"2s.2p.(1P*).3d"	"2F*"	"5/2"	4	6		"T3348"	"L4776"	
Fe	22	"11.767"	"0.010"	"11.767"	"0.006"	""	"1.6e+13"	D	"0.0000"	"1053.6"	"2s2.2p"	"2P*"	"1/2"	"2s2.3d"	"2D"	"3/2"	2	4		"T3806"	"L4776"	
Fe	18	"11.778"	"0.010"	"11.778"	"0.004"	"10"	""		"12.718"	"1065.4"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D<2>).4s"	"(2,1/2)"	"3/2"	2	4		""	"L5090"	
Fe	22	"11.789"	"0.010"	"11.788"	"0.006"	""	"2.6e+13"	D	"50.158"	"1102.0"	"2s.2p2"	"4P"	"1/2"	"2s.2p.(3P*).3d"	"4D*"	"1/2"	2	2		"T3348"	"L4776"	
Fe	22	"11.789"	"0.010"	"11.789"	"0.006"	""	"1.2e+13"	D	"94.130"	"1145.9"	"2s.2p2"	"2D"	"5/2"	"2s.2p.(1P*).3d"	"2F*"	"7/2"	6	8		"T3348"	"L4776"	
Fe	22	"11.797"	"0.010"	"11.796"	"0.006"	""	"1.7e+13"	D	"50.158"	"1101.2"	"2s.2p2"	"4P"	"1/2"	"2s.2p.(3P*).3d"	"4D*"	"3/2"	2	4		"T3348"	"L4776"	
Fe	22	"11.823"	"0.010"	"11.822"	"0.006"	""	"7.9e+12"	D	"63.636"	"1112.4"	"2s.2p2"	"4P"	"5/2"	"2s.2p.(3P*).3d"	"4P*"	"3/2"	6	4		"T3348"	"L4776"	
