obs_wl_air,prev_obs,prev
3835.35,E12q-H9,E12q
3838.29,E12q-MgI,E12q
3841.05,Z20o-FeI/E12q-FeI,Z20o/E12q
3852.6,E12q-SiII,E12q
3856.37,E12q-FeI,E12q
3859.91,Z20o-FeI/E12q-FeI,Z20o/E12q
3889.06,Z20o-HI/E12q-H8,Z20o/E12q
3899.7,E12q-FeI,E12q
3900.52,E12q-FeI,E12q
3902.95,E15q-FeI/E12q-FeI,E15q/E12q
3903.25,E12q-INDEF,E12q
3905.52,E15q-SiI/E12q-SiI,E15q/E12q
3906.48,E15q-FeI/E12q-FeI,E15q/E12q
3913.46,E15q-TiII/E12q-TiII,E15q/E12q
3920.26,E15q-FeI/E12q-FeI,E15q/E12q
3922.91,E15q-FeI/Z20o-FeI/E12q-FeI,E15q/Z20o/E12q
3927.92,E15q-FeI/E12q-FeI,E15q/E12q
3930.3,E15q-FeI/E12q-FeI,E15q/E12q
3933.66,Z20q-CaII/Z20o-CaII/E12q-CaIIH,Z20q/Z20o/E12q
3961.14,E12q-FeI,E12q
3968.47,Z20o-CaII/E12q-CaIIK,Z20o/E12q
3970.04,E12q-H$\epsilon$,E12q
4026.19,E15q-HeI/E12q-HeI,E15q/E12q
4030.76,E15q-MnI/E12q-MnI,E15q/E12q
4033.07,E15q-MnI/E12q-MnI,E15q/E12q
4034.49,E15q-MnI/E12q-MnI,E15q/E12q
4043.9,E12q-FeI,E12q
4043.98,E12q-FeI,E12q
4045.81,Z20q-FeI/E15q-FeI/Z20o-FeI/E12q-FeI,Z20q/E15q/Z20o/E12q
4071.74,E15q-FeI/E12q-FeI/A17o-FeI,E15q/E12q/A17o
4101.71,Z20q-H$\delta$/Z20o-H$\delta$/E12q-H$\delta$,Z20q/Z20o/E12q
4120.82,E12q-HeI,E12q
4122.67,E15q-FeII/E12q-FeII,E15q/E12q
4130.87,E12q-SiII,E12q
4130.89,E15q-SiII/E12q-SiII,E15q/E12q
