# line table created 10-03-21 from NIST database
# elements h-zn I-II included for wavelength range 2000-20000 angstrom. Energy units in ev. Only lines with trans prob. All level information. No uncertainties. 
#Data c+p from NIST as tab-delim. No JS, no spaces in values 
# note that headers changed from ritz_wl_air to obs_wl_air for compatability with existing code, removed units from headers too
# read in as dataframe by pandas, with delim tab, index col false and comment char #
#strings stripped from ei and ek in pandas eg line_table['Ek(eV)']=line_table['Ek(eV)'].str.replace('[^\d.]', '').astype(float)
#element	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type


element	sp_num	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	rm
C	2	"2966.184"	""	"2.65e+07"	B	"23.114046"	"27.292748"	"2s.2p.(3P*).3p"	"4P"	"1/2"	"2s.2p.(3P*).4d"	"4D*"	"3/2"	2	4		
C	2	"2966.655"	""	"5.29e+07"	B	"23.114046"	"27.292085"	"2s.2p.(3P*).3p"	"4P"	"1/2"	"2s.2p.(3P*).4d"	"4D*"	"1/2"	2	2		
V	2	"2966.7041"	"1700"	"2.6e+07"	C	"5.4750754"	"9.653045"	"3d3.(2D1).4s"	"c 3D"	"2"	"3d3.(2D1).4p"	"t 3F*"	"2"	5	5		
C	2	"2966.870"	""	"4.44e+07"	B	"23.116071"	"27.293808"	"2s.2p.(3P*).3p"	"4P"	"3/2"	"2s.2p.(3P*).4d"	"4D*"	"5/2"	4	6		
Fe	1	"2966.89802"	"r"	"2.72e+07"	A	"0.0000000"	"4.17769679"	"3d6.4s2"	"a 5D"	"4"	"3d7.(4F).4p"	"y 5F*"	"5"	9	11		
V	2	"2967.06105"	"16000"	"2.7e+07"	D+	"4.61283474"	"8.79030199"	"3d3.(4F).4p"	"z 3D*"	"3"	"3d3.(4F).5s"	"3F"	"4"	7	9		
C	1	"2967.2229"	"13000000r"	"2.1e+01"	D	"0.0053825826"	"4.1826219"	"2s2.2p2"	"3P"	"2"	"2s.2p3"	"5S*"	"2"	5	5		
Ti	1	"2967.2208"	"14"	"1.1e+07"	C	"0.04796626"	"4.2252086"	"3d2.4s2"	"a 3F"	"4"	"3d2.(1G).4s.4p.(3P*)"	"v 3F*"	"3"	9	7		
C	2	"2967.623"	""	"3.38e+07"	B	"23.116071"	"27.292748"	"2s.2p.(3P*).3p"	"4P"	"3/2"	"2s.2p.(3P*).4d"	"4D*"	"3/2"	4	4		
Cr	1	"2967.64225"	"460"	"3.9e+07"	D	"1.00367492"	"5.18032406"	"3d4.4s2"	"a 5D"	"3"	"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"4"	7	9		
Fe	2	"2967.68235"	"600"	"8.3e+07"	C+	"9.4122703"	"13.5888631"	"3d6.(3D).4p"	"w 2F*"	"5/2"	"3d6.(3D).5s"	"2D"	"3/2"	6	4		
Fe	2	"2967.73239"	"120d?"	"2.6e+06"	D+	"8.7438237"	"12.9203460"	"3d6.(3G).4p"	"x 2G*"	"7/2"	"3d6.(3H).4d"	"2F"	"5/2"	8	6		
C	2	"2967.860"	""	"6.34e+07"	B	"23.118840"	"27.295182"	"2s.2p.(3P*).3p"	"4P"	"5/2"	"2s.2p.(3P*).4d"	"4D*"	"7/2"	6	8		
Mg	2	"2968.015"	""	"3.28e+05"	C+	"9.999328"	"14.175453"	"2p6.4p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"3/2"	4	4		
Mg	2	"2968.020"	"2"	"1.98e+06"	B	"9.999328"	"14.175446"	"2p6.4p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"5/2"	4	6		
C	2	"2968.094"	""	"1.06e+07"	B	"23.116071"	"27.292085"	"2s.2p.(3P*).3p"	"4P"	"3/2"	"2s.2p.(3P*).4d"	"4D*"	"1/2"	4	2		
V	2	"2968.37846"	"150000"	"2.13e+08"	B+	"1.7037461"	"5.87935944"	"3d3.(4P).4s"	"a 5P"	"3"	"3d3.(4P).4p"	"y 5D*"	"4"	7	9		
Fe	1	"2968.47802"	"447"	"8.26e+06"	C+	"2.42419831"	"6.59967157"	"3d6.4s2"	"a 3P2"	"1"	"3d7.(2D2).4p"	"v 3P*"	"1"	3	3		
Fe	2	"2968.73696"	"700d?"	"2.4e+05"	E	"3.38661825"	"7.5617273"	"3d6.(3F2).4s"	"a 2F"	"7/2"	"3d6.(3H).4p"	"z 4H*"	"9/2"	8	10		
C	2	"2968.837"	""	"1.90e+07"	B	"23.118840"	"27.293808"	"2s.2p.(3P*).3p"	"4P"	"5/2"	"2s.2p.(3P*).4d"	"4D*"	"5/2"	6	6		
Fe	2	"2968.86945"	"300"	"7.3e+07"	D+	"8.2137854"	"12.3887082"	"3d6.(3P2).4p"	"z 2S*"	"1/2"	"3d6.(3P2).5s"	"2P"	"1/2"	2	2		
Mg	2	"2969.148"	"1"	"2.25e+06"	B	"9.995544"	"14.170075"	"2p6.4p"	"2P*"	"1/2"	"2p6.9s"	"2S"	"1/2"	2	2		
Fe	1	"2969.35959"	"19100"	"3.66e+06"	A	"0.11011433"	"4.28434800"	"3d6.4s2"	"a 5D"	"1"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"0"	3	1		
Fe	1	"2969.47434"	"11200"	"2.10e+06"	D+	"0.85899575"	"5.03306811"	"3d7.(4F).4s"	"a 5F"	"5"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"4"	11	9		
C	2	"2969.591"	""	"3.17e+06"	B	"23.118840"	"27.292748"	"2s.2p.(3P*).3p"	"4P"	"5/2"	"2s.2p.(3P*).4d"	"4D*"	"3/2"	6	4		
V	2	"2969.8042"	"7600"	"7.e+07"	D	"5.81236824"	"9.9859770"	"3d3.(4P).4p"	"z 5P*"	"2"	"3d3.(4P).5s"	"5P"	"1"	5	3		
V	2	"2969.8470"	"1200"	"9.e+06"	D+	"2.49079909"	"6.6643477"	"3d3.(4P).4s"	"c 3P"	"1"	"3d3.(2D2).4p"	"w 3D*"	"1"	3	3		
Fe	2	"2969.93598"	"21000"	"2.3e+07"	D+	"3.81430861"	"7.9877322"	"3d6.(3G).4s"	"b 2G"	"7/2"	"3d6.(3F2).4p"	"z 2F*"	"5/2"	8	6		
Fe	1	"2970.09942"	"56000"	"1.08e+07"	B+	"0.11011433"	"4.28330826"	"3d6.4s2"	"a 5D"	"1"	"3d7.(4F).4p"	"y 5F*"	"2"	3	5		
Fe	1	"2970.11822"	"39800"	"3.43e+06"	B+	"0.08728574"	"4.26045326"	"3d6.4s2"	"a 5D"	"2"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"1"	5	3		
Si	1	"2970.353"	"55"	"6.00e+04"	E	"0.7809579"	"4.9537952"	"3s2.3p2"	"1D"	"2"	"3s2.3p.4s"	"3P*"	"2"	5	5		
Ti	1	"2970.3827"	"15+"	"7.4e+06"	C	"0.00000000"	"4.1727959"	"3d2.4s2"	"a 3F"	"2"	"3d3.(4F).4p"	"w 3F*"	"2"	5	5		
Co	2	"2970.4261"	"64D"	"9.e+05"	D	"6.38670726"	"10.55944220"	"3d7.(4F).4p"	"z 3D*"	"3"	"3d7.(4F).5s"	"e 5F"	"3"	7	7		
V	2	"2970.4257"	"8500"	"9.8e+07"	B	"5.4803096"	"9.653045"	"3d3.(2D1).4s"	"c 3D"	"1"	"3d3.(2D1).4p"	"t 3F*"	"2"	3	5		
Fe	2	"2970.51469"	"10000"	"2.70e+06"	B	"1.07624119"	"5.24885175"	"3d6.(5D).4s"	"a 4D"	"3/2"	"3d6.(5D).4p"	"z 6F*"	"5/2"	4	6		
Fe	2	"2970.69370"	"2100"	"4.2e+06"	C+	"3.76769941"	"7.9400585"	"3d6.(3G).4s"	"b 2G"	"9/2"	"3d6.(3F2).4p"	"y 4G*"	"7/2"	10	8		
Na	2	"2970.727"	"500"	"1.03e+07"	B	"37.094827"	"41.267140"	"2s2.2p5.3p"	"1D"	"2"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"3"	5	7		
V	2	"2970.9073"	"1000h"	"5.e+07"	D	"6.86914842"	"11.0412076"	"3d3.(2H).4p"	"z 1I*"	"6"	"3d3.(2H).4d"	"1H"	"5"	13	11		
Cr	1	"2971.10761"	"350"	"7.1e+07"	C	"0.98287742"	"5.15465532"	"3d4.4s2"	"a 5D"	"2"	"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"3"	5	7		
Co	2	"2971.3946"	"3600bl(Co I)"	"1.00e+08"	C+	"9.22154694"	"13.39292190"	"3d7.(2H).4p"	"y 1H*"	"5"	"3d7.(2H).5s"	"1H"	"5"	11	11		
Mg	2	"2971.842"	"2"	"4.49e+06"	B	"9.999328"	"14.170075"	"2p6.4p"	"2P*"	"3/2"	"2p6.9s"	"2S"	"1/2"	4	2		
Cr	2	"2971.90113"	"980"	"2.0e+08"	D	"3.76810682"	"7.93877087"	"3d4.(3H).4s"	"a 4H"	"13/2"	"3d4.(3H).4p"	"z 4H*"	"13/2"	14	14		
Fe	2	"2971.99952"	"1200d,bl"	"1.4e+06"	D	"5.60488800"	"9.7754140"	"3d6.(5D).4p"	"z 4D*"	"1/2"	"3d6.(5D).5s"	"e 6D"	"1/2"	2	2		
O	1	"2972.286"	"265"	"7.54e-02"	B+	"0.0196224"	"4.1897463"	"2s2.2p4"	"3P"	"1"	"2s2.2p4"	"1S"	"0"	3	1	M1	
Fe	2	"2972.41040"	"110d,bl(Fe I)"	"4.0e+05"	D	"8.9430267"	"13.1129762"	"3d6.(1G2).4p"	"x 2H*"	"9/2"	"3d6.(3F2).4d"	"2H"	"11/2"	10	12		
Fe	2	"2972.74636"	"600"	"9.e+05"	D	"5.48413599"	"9.6536143"	"3d6.(5D).4p"	"z 4F*"	"9/2"	"3d6.(5D).5s"	"e 6D"	"9/2"	10	10		
Fe	1	"2973.13230"	"89000"	"1.35e+07"	A	"0.08728574"	"4.25622280"	"3d6.4s2"	"a 5D"	"2"	"3d7.(4F).4p"	"y 5F*"	"3"	5	7		
Fe	1	"2973.23506"	"100000"	"1.83e+07"	A	"0.05156912"	"4.22036211"	"3d6.4s2"	"a 5D"	"3"	"3d7.(4F).4p"	"y 5F*"	"4"	7	9		
V	2	"2973.9705"	"19000"	"8.9e+06"	C	"3.7956411"	"7.9634032"	"3d4"	"d 3F1"	"4"	"3d3.(2F).4p"	"w 3G*"	"5"	9	11		
Sc	1	"2974.0058"	"6g"	"5.5e+07"	C+	"0.00000000"	"4.1677126"	"3d.4s2"	"2D"	"3/2"	"3d2.(3F).4p"	"2D*"	"3/2"	4	4		
Na	2	"2974.238"	"600"	"2.02e+07"	C+	"37.094827"	"41.262215"	"2s2.2p5.3p"	"1D"	"2"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"2"	5	5		
Na	2	"2974.990"	"750"	"6.47e+07"	B+	"33.014713"	"37.181047"	"2s2.2p5.3s"	"3P*"	"0"	"2s2.2p5.3p"	"1P"	"1"	1	3		
V	2	"2975.2164"	"5400"	"2.2e+07"	D+	"5.8497277"	"10.0157446"	"3d3.(4P).4p"	"y 5D*"	"3"	"3d3.(4P).5s"	"5P"	"3"	7	7		
Cr	1	"2975.48100"	"300"	"8.9e+07"	C	"0.96841324"	"5.13405969"	"3d4.4s2"	"a 5D"	"1"	"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"2"	3	5		
V	2	"2975.65144"	"29000"	"9.2e+07"	B+	"1.67524961"	"5.8406575"	"3d3.(4P).4s"	"a 5P"	"1"	"3d3.(4P).4p"	"z 3P*"	"1"	3	3		
Fe	2	"2975.93603"	"1100"	"9.e+05"	E	"1.09686139"	"5.26187092"	"3d6.(5D).4s"	"a 4D"	"1/2"	"3d6.(5D).4p"	"z 6F*"	"1/2"	2	2		
Fe	1	"2976.12673"	"1510"	"9.70e+06"	B	"2.27860466"	"6.44334733"	"3d6.4s2"	"a 3P2"	"2"	"3d7.(2P).4p"	"u 3D*"	"3"	5	7		
V	2	"2976.19604"	"47000"	"9.7e+07"	B+	"1.67524961"	"5.83989528"	"3d3.(4P).4s"	"a 5P"	"1"	"3d3.(4P).4p"	"y 5D*"	"2"	3	5		
V	2	"2976.32721"	"8800"	"2.5e+07"	D+	"4.59252099"	"8.75698314"	"3d3.(4F).4p"	"z 3D*"	"2"	"3d3.(4F).5s"	"3F"	"3"	5	7		
Mn	2	"2976.4779"	"150"	"6.e+07"	D	"4.9356240"	"9.0998753"	"3d5.(4D).4s"	"b 3D"	"3"	"3d5.(4D).4p"	"y 3D*"	"3"	7	7		
V	2	"2976.5171"	"110000"	"1.53e+08"	A	"1.6855312"	"5.8497277"	"3d3.(4P).4s"	"a 5P"	"2"	"3d3.(4P).4p"	"y 5D*"	"3"	5	7		
Mn	2	"2976.8659"	"100"	"4.7e+07"	D	"4.9362771"	"9.0999856"	"3d5.(4D).4s"	"b 3D"	"2"	"3d5.(4D).4p"	"y 3D*"	"2"	5	5		
Na	2	"2977.128"	"1000"	"1.2e+08"	E	"36.967803"	"41.131145"	"2s2.2p5.3p"	"3D"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"1"	3	3		
V	1	"2977.5396"	"1100000"	"2.48e+07"	B+	"0.06855768"	"4.2313242"	"3d3.4s2"	"a 4F"	"9/2"	"3d3.(4P).4s.4p.(3P*)"	"w 4D*"	"7/2"	10	8		
V	2	"2977.8607"	"8500"	"3.6e+07"	D+	"5.8336907"	"9.9960084"	"3d3.(4P).4p"	"z 5P*"	"3"	"3d3.(4P).5s"	"5P"	"2"	7	5		
V	2	"2978.2228"	"3900"	"7.4e+06"	D+	"2.3721639"	"6.5339756"	"3d3.(2P).4s"	"b 3P"	"2"	"3d3.(4P).4p"	"x 3D*"	"2"	5	5		
Fe	2	"2978.84552"	"700d"	"7.2e+05"	C	"3.76769941"	"7.9286411"	"3d6.(3G).4s"	"b 2G"	"9/2"	"3d6.(3F2).4p"	"y 4G*"	"9/2"	10	10		
V	1	"2978.91102"	"24000"	"3.5e+06"	C	"1.06360365"	"5.22445384"	"3d4.(5D).4s"	"a 4D"	"5/2"	"3d3.(4P).4s.4p.(1P*)"	"r 4D*"	"5/2"	6	6		
Ar	2	"2979.05007"	"263"	"4.16e+07"	B	"17.265833524"	"21.42648951"	"3s2.3p4.(3P).4s"	"2P"	"1/2"	"3s2.3p4.(1D).4p"	"2P*"	"1/2"	2	2		
Ti	2	"2979.06200"	"7"	"1.2e+08"	D	"3.93732163"	"8.09796096"	"3d2.(3F).4p"	"z 2D*"	"3/2"	"3d2.(3F).4d"	"f 2F"	"5/2"	4	6		
Fe	2	"2979.0804"	"600"	"9.e+06"	D+	"5.57055201"	"9.7311656"	"3d6.(1F).4s"	"c 2F"	"5/2"	"3d6.(1D2).4p"	"w 2D*"	"3/2"	6	4		
Si	2	"2979.096"	""	"5.44e+01"	B	"5.344700"	"9.505292"	"3s.3p2"	"4P"	"5/2"	"3s.3p2"	"2S"	"1/2"	6	2	E2	
V	2	"2979.1100"	"5200"	"4.6e+06"	D+	"2.02602377"	"6.18659599"	"3d3.(2G).4s"	"b 3G"	"3"	"3d3.(2P).4p"	"z 1D*"	"2"	7	5		
Fe	2	"2979.11503"	"900"	"5.e+05"	D	"3.96737644"	"8.1279417"	"3d7"	"b 2F"	"7/2"	"3d6.(3H).4p"	"z 2H*"	"9/2"	8	10		
Fe	2	"2979.35350"	"4000"	"1.6e+06"	C	"1.09686139"	"5.25709365"	"3d6.(5D).4s"	"a 4D"	"1/2"	"3d6.(5D).4p"	"z 6F*"	"3/2"	2	4		
V	2	"2979.4032"	"3000"	"1.4e+08"	D+	"6.88104478"	"11.0412076"	"3d3.(2H).4p"	"y 1H*"	"5"	"3d3.(2H).4d"	"1H"	"5"	11	11		
Na	2	"2979.660"	"1100"	"2.0e+08"	E	"36.902113"	"41.061918"	"2s2.2p5.3p"	"3D"	"2"	"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"3"	5	7		
Sc	2	"2979.669"	"8*"	"1.2e+08"	E	"3.820660"	"7.980451"	"3p6.3d.4p"	"1P*"	"1"	"3p6.3d.4d"	"1D"	"2"	3	5		
Cr	2	"2979.73606"	"860"	"1.8e+08"	D	"3.75653126"	"7.91622942"	"3d4.(3H).4s"	"a 4H"	"11/2"	"3d4.(3H).4p"	"z 4H*"	"11/2"	12	12		
Fe	1	"2980.53220"	"1910"	"1.66e+07"	B	"2.75857762"	"6.91716472"	"3d7.(2G).4s"	"a 3G"	"3"	"3d6.(1G2).4s.4p.(3P*)"	"s 3G*"	"3"	7	7		
Na	2	"2980.624"	"1100"	"3.30e+05"	D	"36.854157"	"41.012615"	"2s2.2p5.3p"	"3D"	"3"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"	7	5		
Fe	2	"2980.6388"	"500"	"1.6e+06"	D+	"7.2693948"	"11.4278331"	"3d6.(1G1).4s"	"d 2G"	"9/2"	"3d6.(3F1).4p"	"u 2G*"	"9/2"	10	10		
Sc	1	"2980.7606"	"6g"	"5.4e+07"	C+	"0.0208711"	"4.1791396"	"3d.4s2"	"2D"	"5/2"	"3d2.(3F).4p"	"2D*"	"5/2"	6	6		
Cr	1	"2980.78995"	"240"	"5.10e+07"	B	"0.96097009"	"5.11919762"	"3d4.4s2"	"a 5D"	"0"	"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"1"	1	3		
Fe	2	"2980.96266"	"1400"	"1.1e+06"	D	"3.42449356"	"7.5824802"	"3d6.(3F2).4s"	"a 2F"	"5/2"	"3d6.(3H).4p"	"z 4H*"	"7/2"	6	8		
V	2	"2981.2002"	"17000"	"7.6e+07"	B	"2.3763202"	"6.5339756"	"3d3.(2P).4s"	"b 3P"	"1"	"3d3.(4P).4p"	"x 3D*"	"2"	3	5		
Fe	1	"2981.44486"	"107000"	"6.53e+06"	A	"0.05156912"	"4.20888328"	"3d6.4s2"	"a 5D"	"3"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"2"	7	5		
Ti	1	"2981.4670"	"12"	"7.3e+05"	C	"0.02109378"	"4.1783771"	"3d2.4s2"	"a 3F"	"3"	"3d3.(4F).4p"	"w 3F*"	"4"	7	9		
Ni	1	"2981.646"	"570"	"2.8e+07"	C	"0.1090833"	"4.2661171"	"3d9.(2D).4s"	"3D"	"2"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"1"	5	3		
Fe	1	"2981.84977"	"2690bl*"	"1.86e+07"	B	"2.17594512"	"6.33269478"	"3d7.(4P).4s"	"a 5P"	"3"	"3d6.(5D).4s (6D).5p"	"t 5D*"	"4"	7	9		
V	2	"2981.92303"	"2900"	"6.0e+06"	D+	"2.52221646"	"6.6788640"	"3d3.(4P).4s"	"c 3P"	"2"	"3d3.(2D2).4p"	"w 3D*"	"2"	5	5		
Fe	2	"2982.06129"	"6000"	"2.4e+07"	D+	"4.47910423"	"8.6355591"	"3d6.(3D).4s"	"b 2D"	"3/2"	"3d6.(3G).4p"	"y 2F*"	"5/2"	4	6		
Fe	1	"2982.22916"	"2"	"3.47e+06"	D+	"2.99035244"	"7.14657331"	"3d6.4s2"	"b 3G"	"4"	"3d6.(3D).4s.4p.(3P*)"	"t 3F*"	"3"	9	7		
Fe	2	"2982.25601"	"700"	"1.2e+06"	D	"3.81430861"	"7.9704921"	"3d6.(3G).4s"	"b 2G"	"7/2"	"3d6.(3F2).4p"	"z 2F*"	"7/2"	8	8		
V	2	"2982.7584"	"11000"	"1.0e+08"	D+	"1.67524961"	"5.8307331"	"3d3.(4P).4s"	"a 5P"	"1"	"3d3.(4P).4p"	"z 3P*"	"0"	3	1		
V	2	"2983.0148"	"4100h*"	"1.1e+07"	D+	"1.6855312"	"5.8406575"	"3d3.(4P).4s"	"a 5P"	"2"	"3d3.(4P).4p"	"z 3P*"	"1"	5	3		
Ti	1	"2983.3031"	"15+"	"1.1e+07"	C	"0.02109378"	"4.1758186"	"3d2.4s2"	"a 3F"	"3"	"3d3.(4F).4p"	"w 3F*"	"3"	7	7		
V	2	"2983.5621"	"25000"	"5.4e+07"	B+	"1.6855312"	"5.83989528"	"3d3.(4P).4s"	"a 5P"	"2"	"3d3.(4P).4p"	"y 5D*"	"2"	5	5		
Fe	1	"2983.56951"	"r"	"2.79e+07"	A	"0.0000000"	"4.15435379"	"3d6.4s2"	"a 5D"	"4"	"3d7.(4F).4p"	"y 5D*"	"3"	9	7		
Ni	1	"2984.131"	"250"	"6.6e+06"	C+	"0.0000000"	"4.1535726"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"3"	9	7		
Fe	2	"2984.18371"	"120d?"	"5.3e+06"	D+	"8.7438237"	"12.8973225"	"3d6.(3G).4p"	"x 2G*"	"7/2"	"3d6.(5D).5d"	"4F"	"5/2"	8	6		
Na	2	"2984.174"	"1300bl*"	"1.74e+07"	B	"32.941315"	"37.094827"	"2s2.2p5.3s"	"3P*"	"1"	"2s2.2p5.3p"	"1D"	"2"	3	5		
Na	2	"2984.191"	"1300bl*"	"2.4e+08"	E	"36.967803"	"41.121292"	"2s2.2p5.3p"	"3D"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"2"	3	5		
Fe	2	"2984.21034"	"100d?"	"1.9e+06"	D+	"8.7179023"	"12.8713640"	"3d6.(3G).4p"	"x 2G*"	"9/2"	"3d6.(5D).5d"	"4F"	"7/2"	10	8		
Fe	2	"2984.28642"	"100d,bl(Fe II)*"	"7.e+05"	D	"9.2500722"	"13.4034281"	"3d6.(3D).4p"	"x 2D*"	"5/2"	"3d6.(3F2).4d"	"2P"	"3/2"	6	4		
Mn	2	"2984.5972"	"60"	"7.9e+06"	D+	"4.1097923"	"8.2627156"	"3d5.(4G).4s"	"a 3G"	"5"	"3d5.(4G).4p"	"z 5F*"	"4"	11	9		
Fe	1	"2984.76794"	"2450"	"2.58e+05"	B	"0.85899575"	"5.01168158"	"3d7.(4F).4s"	"a 5F"	"5"	"3d5.(6S).4s2.4p"	"y 7P*"	"4"	11	9		
Fe	2	"2984.82518"	"100000"	"4.3e+07"	C	"1.67061856"	"5.82322475"	"3d7"	"a 4P"	"5/2"	"3d6.(5D).4p"	"z 4P*"	"5/2"	6	6		
Fe	2	"2984.88819"	"500"	"6.e+05"	D	"3.38661825"	"7.5391368"	"3d6.(3F2).4s"	"a 2F"	"7/2"	"3d6.(3H).4p"	"z 4G*"	"9/2"	8	10		
Fe	2	"2984.96179"	"1900"	"5.4e+07"	C+	"8.3070070"	"12.4594232"	"3d6.(3F2).4p"	"y 2D*"	"5/2"	"3d6.(3F2).5s"	"e 2F"	"7/2"	6	8		
Fe	2	"2985.09112"	"250"	"6.e+05"	D	"7.11806748"	"11.2703037"	"3d5.4s2"	"d 4P"	"5/2"	"3d6.(5D).5p"	"4P*"	"5/2"	6	6		
V	2	"2985.1791"	"17000"	"1.6e+07"	C	"3.7990950"	"7.9512088"	"3d4"	"d 3F1"	"3"	"3d3.(2F).4p"	"w 3G*"	"4"	7	9		
Cr	2	"2985.32036"	"730"	"2.2e+08"	D	"3.74665105"	"7.89856848"	"3d4.(3H).4s"	"a 4H"	"9/2"	"3d4.(3H).4p"	"z 4H*"	"9/2"	10	10		
Fe	2	"2985.54538"	"40000"	"2.39e+07"	B	"1.72398297"	"5.87558748"	"3d7"	"a 4P"	"1/2"	"3d6.(5D).4p"	"z 4P*"	"3/2"	2	4		
Fe	2	"2985.63967"	"600?"	"1.2e+06"	D	"5.54876624"	"9.7002396"	"3d6.(5D).4p"	"z 4F*"	"7/2"	"3d6.(5D).5s"	"e 6D"	"7/2"	8	8		
Fe	2	"2986.34420"	"1000"	"4.1e+07"	C+	"8.3408923"	"12.4913863"	"3d6.(3F2).4p"	"y 2D*"	"3/2"	"3d6.(3F2).5s"	"e 2F"	"5/2"	4	6		
Fe	1	"2986.45581"	"3800"	"2.19e+05"	A	"0.11011433"	"4.26045326"	"3d6.4s2"	"a 5D"	"1"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"1"	3	3		
Co	1	"2987.158"	"690"	"4.9e+06"	B	"0.000000"	"4.149363"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"	10	8		
Fe	1	"2987.29033"	"12300"	"5.25e+06"	C+	"0.91460217"	"5.06378173"	"3d7.(4F).4s"	"a 5F"	"4"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"3"	9	7		
Fe	2	"2987.50745"	"170d?"	"2.7e+06"	D+	"8.0381375"	"12.1870155"	"3d6.(3F2).4p"	"y 2G*"	"9/2"	"3d6.(3H).5s"	"e 4H"	"11/2"	10	12		
Fe	2	"2987.53549"	"800"	"5.5e+06"	D+	"8.7438237"	"12.8926628"	"3d6.(3G).4p"	"x 2G*"	"7/2"	"3d6.(3H).4d"	"4H"	"7/2"	8	8		
Si	1	"2987.643"	"150"	"2.66e+06"	D+	"0.7809579"	"4.9296471"	"3s2.3p2"	"1D"	"2"	"3s2.3p.4s"	"3P*"	"1"	5	3		
Fe	2	"2987.78925"	"800"	"8.8e+07"	C+	"8.7438237"	"12.8923104"	"3d6.(3G).4p"	"x 2G*"	"7/2"	"3d6.(3G).5s"	"e 2G"	"7/2"	8	8		
V	2	"2988.0250"	"13000"	"4.0e+07"	B	"1.6855312"	"5.8336907"	"3d3.(4P).4s"	"a 5P"	"2"	"3d3.(4P).4p"	"z 5P*"	"3"	5	7		
Fe	1	"2988.47156"	"1550"	"5.44e+05"	B+	"1.48486439"	"5.63240401"	"3d7.(4F).4s"	"a 3F"	"4"	"3d6.(3H).4s.4p.(3P*)"	"y 3G*"	"4"	9	9		
Cr	1	"2988.64712"	"310"	"5.2e+07"	C	"0.94143042"	"5.08872640"	"3d5.(6S).4s"	"a 5S"	"2"	"3d4.(5D).4s.4p.(1P*)"	"x 5P*"	"3"	5	7		
Sc	2	"2988.926"	"12bl"	"2.9e+08"	E	"3.233674"	"7.380583"	"3p6.3d.4p"	"1D*"	"2"	"3p6.3d.4d"	"1F"	"3"	5	7		
Fe	1	"2988.9438"	"100"	"7.99e+05"	D+	"2.72754450"	"6.8744289"	"3d7.(2G).4s"	"a 3G"	"4"	"3d6.(1G2).4s.4p.(3P*)"	"v 3H*"	"4"	9	9		
Sc	1	"2988.9747"	"6g"	"6.9e+06"	C+	"0.0208711"	"4.1677126"	"3d.4s2"	"2D"	"5/2"	"3d2.(3F).4p"	"2D*"	"3/2"	6	4		
Fe	2	"2989.06336"	"600bl(Fe II)?*"	"7.e+05"	D	"5.58919550"	"9.7359140"	"3d6.(5D).4p"	"z 4F*"	"5/2"	"3d6.(5D).5s"	"e 6D"	"5/2"	6	6		
Cr	2	"2989.18970"	"650"	"2.2e+08"	D	"3.73895849"	"7.88550172"	"3d4.(3H).4s"	"a 4H"	"7/2"	"3d4.(3H).4p"	"z 4H*"	"7/2"	8	8		
V	2	"2989.3083"	"4500"	"3.9e+07"	C	"2.3757135"	"6.5220923"	"3d3.(2P).4s"	"b 3P"	"0"	"3d3.(4P).4p"	"x 3D*"	"1"	1	3		
V	2	"2989.37900"	"23000"	"1.0e+08"	D	"5.8497277"	"9.9960084"	"3d3.(4P).4p"	"y 5D*"	"3"	"3d3.(4P).5s"	"5P"	"2"	7	5		
Co	1	"2989.584"	"690"	"3.8e+06"	C+	"0.000000"	"4.145997"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d8.(3F).4p"	"y 2G*"	"9/2"	10	10		
V	2	"2989.5946"	"15000"	"4.7e+07"	B	"1.7037461"	"5.8497277"	"3d3.(4P).4s"	"a 5P"	"3"	"3d3.(4P).4p"	"y 5D*"	"3"	7	7		
