w0,vel_diff,rv_wl,obs_wl_air,prev_obs,element,sp_num,intens,Aki,Acc,Ei,Ek,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,prev,rv_shift,vsini_shift,f0_flat,f0_data,SNR,multi,tar_inst,abs_vel_diff
4549.5,1.31791966557296,4549.48,4549.47,E12o-FeII/Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,Fe,2,1400bl(Fe I),1000000,C+,2.82812245,5.55260578,3d6.(3F2).4s,b 4F,7/2,3d6.(5D).4p,z 4D*,5/2,8,6,,E12o/Z20q/E15q/Z20o/E12q/A17o,0.01,1.52,0.375692693617023,0.002796724333628,4.14706316165883,yes,EX_Lupi_all,1.31791966557296
4583.8,-2.61608134664148,4583.84,4583.83,Z20q-FeII/Z20o-FeII,Fe,2,1500,720000,C+,2.80665448,5.5107139,3d6.(3F2).4s,b 4F,9/2,3d6.(5D).4p,z 4D*,7/2,10,8,,Z20q/Z20o,0.01,1.53,0.3735618039545,0.003091385514505,4.12354145316902,yes,EX_Lupi_all,2.61608134664148
4583.8,-3.27009454935361,4583.85,4583.84,E12q-FeII,Fe,2,1500,720000,C+,2.80665448,5.5107139,3d6.(3F2).4s,b 4F,9/2,3d6.(5D).4p,z 4D*,7/2,10,8,,E12q,0.01,1.53,0.3735618039545,0.003091385514505,4.12354145316902,yes,EX_Lupi_all,3.27009454935361
4685.7,-0.639801562637346,4685.71,4685.7,,He,2,,112660000,AA,48.37151258731,51.0167820747,3p,2P*,3/2,4d,2D,5/2,4,6,,,0.01,1.56,0.298210132215584,0.00286284807499,3.29177616375295,yes,EX_Lupi_all,0.639801562637346
4685.7,-4.47855359101821,4685.77,4685.76,,He,2,,556310,AA,48.371512233303,51.01675197039,3d,2D,3/2,4p,2P*,3/2,4,4,,,0.01,1.56,0.298210132215584,0.00286284807499,3.29177616375295,yes,EX_Lupi_all,4.47855359101821
4685.7,-7.03766699464436,4685.81,4685.8,E12q-HeII,He,2,,220700000,AA,48.371583949701,51.0167971475,3d,2D,5/2,4f,2F*,7/2,6,8,,E12q,0.01,1.56,0.298210132215584,0.00286284807499,3.29177616375295,yes,EX_Lupi_all,7.03766699464436
4685.7,7.67783176468384,4685.58,4685.57,,He,2,,49070000,AA,48.3713147192,51.01666119611,3s,2S,1/2,4p,2P*,1/2,2,2,,,0.01,1.56,0.298210132215584,0.00286284807499,3.29177616375295,yes,EX_Lupi_all,7.67783176468384
4685.7,-8.95697337512552,4685.84,4685.83,,He,2,,14713000,AA,48.371583949701,51.0167820202,3d,2D,5/2,4f,2F*,5/2,6,6,,,0.01,1.56,0.298210132215584,0.00286284807499,3.29177616375295,yes,EX_Lupi_all,8.95697337512552
4685.7,10.8770444026656,4685.53,4685.52,,He,2,,9794700,AA,48.37129741757,51.01666851092,3p,2P*,1/2,4s,2S,1/2,2,2,,,0.01,1.56,0.298210132215584,0.00286284807499,3.29177616375295,yes,EX_Lupi_all,10.8770444026656
4685.7,-12.1557627302717,4685.89,4685.88,,He,2,,5006700,AA,48.371583949701,51.01675197039,3d,2D,5/2,4p,2P*,3/2,6,4,,,0.01,1.56,0.298210132215584,0.00286284807499,3.29177616375295,yes,EX_Lupi_all,12.1557627302717
