w0,vel_diff,rv_wl,obs_wl_air,prev_obs,element,sp_num,intens,Aki,Acc,Ei,Ek,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,prev,rv_shift,vsini_shift,f0_flat,f0_data,SNR,multi,tar_inst,abs_vel_diff
5875.6,-2.55114292032062,5875.65,5875.64,,He,1,500*,53019000,AAA,20.9640966823,23.0736513414,1s.2p,3P*,1,1s.3d,3D,2,3,5,,,0.01,1.96,2.67329515535416,0.014399287534228,29.509021728039,yes,EX_Lupi_all,2.55114292032062
5875.6,-19.3875973096845,5875.98,5875.97,,He,1,100,39282000,AAA,20.96421916817,23.07365682165,1s.2p,3P*,0,1s.3d,3D,1,1,3,,,0.01,1.96,2.67329515535416,0.014399287534228,29.509021728039,yes,EX_Lupi_all,19.3875973096845
5875.6,57.6674112796614,5874.47,5874.46,,He,1,,12320,AA,20.9640966823,23.07407511941,1s.2p,3P*,1,1s.3d,1D,2,3,5,,,0.01,1.96,2.67329515535416,0.014399287534228,29.509021728039,yes,EX_Lupi_all,57.6674112796614
5875.6,59.1987068180506,5874.44,5874.43,,He,1,,4310,AA,20.96408720675,23.07407511941,1s.2p,3P*,2,1s.3d,1D,2,5,5,,,0.01,1.96,2.67329515535416,0.014399287534228,29.509021728039,yes,EX_Lupi_all,59.1987068180506
5890,2.03595581633646,5889.96,5889.95,Z20q-NaI/Z20o-NaI/E12q-NaID/A17o-NaI,Na,1,80000,61600000,AA,0,2.104429202,2p6.3s,2S,1/2,2p6.3p,2P*,3/2,2,4,,Z20q/Z20o/E12q/A17o,0.01,1.96,0.812654412576084,0.008195376452395,8.97044109404279,yes,EX_Lupi_all,2.03595581633646
6147.7,-1.95058644639967,6147.74,6147.73,E15q-FeII,Fe,2,10,130000,E,3.88869686,5.90488507,3d6.(3D).4s,b 4D,3/2,3d6.(5D).4p,z 4P*,1/2,4,2,,E15q,0.01,2.05,0.303509960871838,0.005797291812837,3.35027803125495,yes,EX_Lupi_all,1.95058644639967
6247.5,-3.35898150159386,6247.57,6247.56,E12o-FeII/Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,Fe,2,28,160000,D,3.89161339,5.87558748,3d6.(3D).4s,b 4D,5/2,3d6.(5D).4p,z 4P*,3/2,6,4,,E12o/Z20q/E15q/Z20o/E12q/A17o,0.01,2.08,0.400960228071616,0.005985234292746,4.42597745278796,yes,EX_Lupi_all,3.35898150159386
6299.9,-19.5093428387221,6300.31,6300.3,Z20q-OI/Z20o-OI,O,1,,2.11E-05,C+,0,1.9673642,2s2.2p4,3P,2,2s2.2p4,1D,2,5,5,E2,Z20q/Z20o,0.01,2.1,0.419671898662438,0.005715133617492,4.63252520077104,yes,EX_Lupi_all,19.5093428387221
6347.1,-0.472329072568898,6347.11,6347.1,E12o-SiII/E15q-SiII/Z20o-SiII/E12q-SiII/A17o-SiII,Si,2,1000,58400000,B+,8.121023,10.07388,3s2.4s,2S,1/2,3s2.4p,2P*,3/2,2,4,,E12o/E15q/Z20o/E12q/A17o,0.01,2.12,0.580099927964803,0.007003140874573,6.40340118989944,yes,EX_Lupi_all,0.472329072568898
6363.3,-23.0834619652651,6363.79,6363.78,Z20q-OI/Z20o-OI,O,1,,3.39E-06,C+,0.0196224,1.9673642,2s2.2p4,3P,1,2s2.2p4,1D,2,3,5,E2,Z20q/Z20o,0.01,2.12,0.264885748127876,0.005667457936215,2.92392678051213,yes,EX_Lupi_all,23.0834619652651
6371.3,-3.29371423413061,6371.37,6371.36,E12o-SiII/E15q-SiII/E12q-SiII/A17o-SiII,Si,2,1000,68000000,C+,8.121023,10.066443,3s2.4s,2S,1/2,3s2.4p,2P*,1/2,2,2,,E12o/E15q/E12q/A17o,0.01,2.13,0.325029468341393,0.006015845597646,3.5878199323892,yes,EX_Lupi_all,3.29371423413061
6456.4,0.464334493392248,6456.39,6456.38,E12o-FeII/Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,Fe,2,800,170000,D,3.90341906,5.82322475,3d6.(3D).4s,b 4D,7/2,3d6.(5D).4p,z 4P*,5/2,8,6,,E12o/Z20q/E15q/Z20o/E12q/A17o,0.01,2.15,0.38872758060056,0.006801752641128,4.29094804561911,yes,EX_Lupi_all,0.464334493392248
6561,-78.5715416412823,6562.72,6562.71,,H,1,,53877000,AAA,10.19880615024,12.0875070783,2p,2P*,1/2,3d,2D,3/2,2,4,,,0.01,2.19,6.49179884755443,0.036307187393828,71.6593649836483,yes,EX_Lupi_all,78.5715416412823
6561,-79.0282325099264,6562.73,6562.72,,H,1,,22448000,AAA,10.1988105251482,12.0875071004,2s,2S,1/2,3p,2P*,3/2,2,4,,,0.01,2.19,6.49179884755443,0.036307187393828,71.6593649836483,yes,EX_Lupi_all,79.0282325099264
6561,-80.3982967653953,6562.76,6562.75,,H,1,,2104600,AAA,10.19880615024,12.0874949611,2p,2P*,1/2,3s,2S,1/2,2,2,,,0.01,2.19,6.49179884755443,0.036307187393828,71.6593649836483,yes,EX_Lupi_all,80.3982967653953
6561,-81.3116659769067,6562.78,6562.77,,H,1,,22449000,AAA,10.1988105251482,12.0874936591,2s,2S,1/2,3p,2P*,1/2,2,2,,,0.01,2.19,6.49179884755443,0.036307187393828,71.6593649836483,yes,EX_Lupi_all,81.3116659769067
6561,-83.59506465046,6562.83,6562.82,,H,1,500000,44101000,AAA,10.1988358,12.0875052,2,,,3,,,8,18,,,0.01,2.19,6.49179884755443,0.036307187393828,71.6593649836483,yes,EX_Lupi_all,83.59506465046
6561,-84.9650871540612,6562.86,6562.85,,H,1,,64651000,AAA,10.19885151459,12.0875115582,2p,2P*,3/2,3d,2D,5/2,4,6,,,0.01,2.19,6.49179884755443,0.036307187393828,71.6593649836483,yes,EX_Lupi_all,84.9650871540612
6561,-85.8784285313815,6562.88,6562.87,,H,1,,10775000,AAA,10.19885151459,12.0875070783,2p,2P*,3/2,3d,2D,3/2,4,4,,,0.01,2.19,6.49179884755443,0.036307187393828,71.6593649836483,yes,EX_Lupi_all,85.8784285313815
6561,-87.7050945859498,6562.92,6562.91,,H,1,,4209700,AAA,10.19885151459,12.0874949611,2p,2P*,3/2,3s,2S,1/2,4,2,,,0.01,2.19,6.49179884755443,0.036307187393828,71.6593649836483,yes,EX_Lupi_all,87.7050945859498
6678.2,1.79565903182749,6678.16,6678.15,E12o-HeI/Z20q-HeI/E15q-HeI/Z20o-HeI/E12q-HeI,He,1,100,63705000,AAA,21.2180230218,23.07407511941,1s.2p,1P*,1,1s.3d,1D,2,3,5,,E12o/Z20q/E15q/Z20o/E12q,0.01,2.23,1.43813218978324,0.009267241377777,15.8747431801947,yes,EX_Lupi_all,1.79565903182749
6678.2,-30.9717327310605,6678.89,6678.88,A17o-FeII,Fe,2,110,24000000,C+,10.9300968,12.7859594,3d6.(5D).4d,4P,3/2,3d6.(5D<4>).4f,2[1]*,1/2,4,2,,A17o,0.01,2.23,1.43813218978324,0.009267241377777,15.8747431801947,yes,EX_Lupi_all,30.9717327310605
